Training Log - Final_Model_Deployment
Started at: 2026-03-19 16:43:12.972085
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0002
Gamma: 0.99
Batch Size: 32
Epsilon: start=1.0, end=0.05, decay=0.995
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.25, Mean Episode Length (last 100): 225.00
Timestep: 2000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.44
Timestep: 3000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 210.93
Timestep: 4000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 212.44
Timestep: 5000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 210.83
Timestep: 6000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 214.70
Timestep: 7000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 215.22
Timestep: 8000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 212.78
Timestep: 9000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 214.51
Timestep: 10000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 214.96
Timestep: 11000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 214.37
Timestep: 12000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 214.27
Timestep: 13000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 213.87
Timestep: 14000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 214.08
Timestep: 15000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 213.07
Timestep: 16000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 212.96
Timestep: 17000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 213.24
Timestep: 18000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 212.56
Timestep: 19000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 212.17
Timestep: 20000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.54
Timestep: 21000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.29
Timestep: 22000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 211.94
Timestep: 23000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 211.76
Timestep: 24000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.01
Timestep: 25000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.26
Timestep: 26000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 212.82
Timestep: 27000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.02
Timestep: 28000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 211.07
Timestep: 29000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.11
Timestep: 30000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 211.48
Timestep: 31000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 210.46
Timestep: 32000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 209.97
Timestep: 33000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 209.72
Timestep: 34000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 209.47
Timestep: 35000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 209.07
Timestep: 36000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 210.81
Timestep: 37000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 210.45
Timestep: 38000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 210.37
Timestep: 39000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 211.59
Timestep: 40000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 211.08
Timestep: 41000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 211.23
Timestep: 42000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 211.77
Timestep: 43000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 211.97
Timestep: 44000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 212.12
Timestep: 45000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 211.57
Timestep: 46000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 210.76
Timestep: 47000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 210.14
Timestep: 48000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 209.99
Timestep: 49000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 210.47
Timestep: 50000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 210.61
Timestep: 51000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 209.59
Timestep: 52000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 209.96
Timestep: 53000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 210.48
Timestep: 54000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 210.44
Timestep: 55000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 210.90
Timestep: 56000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 210.79
Timestep: 57000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 209.17
Timestep: 58000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 209.59
Timestep: 59000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 209.37
Timestep: 60000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 207.85
Timestep: 61000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 207.48
Timestep: 62000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 207.28
Timestep: 63000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 207.85
Timestep: 64000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 208.54
Timestep: 65000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 209.30
Timestep: 66000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 209.31
Timestep: 67000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 210.25
Timestep: 68000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 210.64
Timestep: 69000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 211.64
Timestep: 70000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 212.08
Timestep: 71000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 211.68
Timestep: 72000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 213.29
Timestep: 73000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 214.30
Timestep: 74000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 215.23
Timestep: 75000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 215.58
Timestep: 76000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 215.13
Timestep: 77000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 216.41
