Training Log - 1M_Exp1_Balanced
Started at: 2026-03-20 18:51:30.745002
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0001
Gamma: 0.99
Batch Size: 32
Epsilon: start=1.0, end=0.05, decay=0.995
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 201.75
Timestep: 2000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.67
Timestep: 3000, Mean Reward (last 100): -20.79, Mean Episode Length (last 100): 211.64
Timestep: 4000, Mean Reward (last 100): -20.84, Mean Episode Length (last 100): 208.32
Timestep: 5000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 213.52
Timestep: 6000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.43
Timestep: 7000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.31
Timestep: 8000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.78
Timestep: 9000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.14
Timestep: 10000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.09
Timestep: 11000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 212.55
Timestep: 12000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 211.86
Timestep: 13000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 212.08
Timestep: 14000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 211.65
Timestep: 15000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 211.50
Timestep: 16000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 211.73
Timestep: 17000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 212.24
Timestep: 18000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 212.20
Timestep: 19000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 212.93
Timestep: 20000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 212.01
Timestep: 21000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 212.03
Timestep: 22000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 212.40
Timestep: 23000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 212.09
Timestep: 24000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 212.58
Timestep: 25000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 213.03
Timestep: 26000, Mean Reward (last 100): -20.80, Mean Episode Length (last 100): 211.75
Timestep: 27000, Mean Reward (last 100): -20.81, Mean Episode Length (last 100): 212.05
Timestep: 28000, Mean Reward (last 100): -20.84, Mean Episode Length (last 100): 211.48
Timestep: 29000, Mean Reward (last 100): -20.83, Mean Episode Length (last 100): 211.34
Timestep: 30000, Mean Reward (last 100): -20.82, Mean Episode Length (last 100): 212.15
Timestep: 31000, Mean Reward (last 100): -20.82, Mean Episode Length (last 100): 212.19
Timestep: 32000, Mean Reward (last 100): -20.81, Mean Episode Length (last 100): 212.12
Timestep: 33000, Mean Reward (last 100): -20.80, Mean Episode Length (last 100): 212.93
Timestep: 34000, Mean Reward (last 100): -20.79, Mean Episode Length (last 100): 213.77
Timestep: 35000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 213.34
Timestep: 36000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 213.54
Timestep: 37000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 213.37
Timestep: 38000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 213.61
Timestep: 39000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 213.21
Timestep: 40000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 212.93
Timestep: 41000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 212.62
Timestep: 42000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 213.33
Timestep: 43000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 212.23
Timestep: 44000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 212.25
Timestep: 45000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 211.62
Timestep: 46000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.63
Timestep: 47000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.66
Timestep: 48000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 213.67
Timestep: 49000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.31
Timestep: 50000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.89
Timestep: 51000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 214.30
Timestep: 52000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.33
Timestep: 53000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.45
Timestep: 54000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 212.63
Timestep: 55000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 211.47
Timestep: 56000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 212.08
Timestep: 57000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.62
Timestep: 58000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 212.84
Timestep: 59000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.87
Timestep: 60000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.52
Timestep: 61000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.60
Timestep: 62000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.62
Timestep: 63000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 213.12
Timestep: 64000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.53
Timestep: 65000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 215.28
Timestep: 66000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.55
Timestep: 67000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 214.52
Timestep: 68000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 213.09
Timestep: 69000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 212.52
Timestep: 70000, Mean Reward (last 100): -20.79, Mean Episode Length (last 100): 211.41
Timestep: 71000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 212.10
Timestep: 72000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 213.00
Timestep: 73000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 212.92
Timestep: 74000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.01
Timestep: 75000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 213.92
Timestep: 76000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.07
Timestep: 77000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 213.39
