Training Log - 1M_Exp2_LowGamma
Started at: 2026-03-21 02:03:13.630193
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0001
Gamma: 0.8
Batch Size: 32
Epsilon: start=1.0, end=0.05, decay=0.995
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 213.50
Timestep: 2000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 204.33
Timestep: 3000, Mean Reward (last 100): -20.79, Mean Episode Length (last 100): 207.36
Timestep: 4000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 209.78
Timestep: 5000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 212.39
Timestep: 6000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 216.33
Timestep: 7000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 218.59
Timestep: 8000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 217.25
Timestep: 9000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 216.17
Timestep: 10000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 217.07
Timestep: 11000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 218.70
Timestep: 12000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 217.35
Timestep: 13000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 216.66
Timestep: 14000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 217.05
Timestep: 15000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 217.75
Timestep: 16000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 218.45
Timestep: 17000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 219.78
Timestep: 18000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 220.01
Timestep: 19000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 220.29
Timestep: 20000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 219.98
Timestep: 21000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 219.69
Timestep: 22000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 220.07
Timestep: 23000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 220.22
Timestep: 24000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 220.71
Timestep: 25000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 220.57
Timestep: 26000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 221.02
Timestep: 27000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 220.55
Timestep: 28000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 219.41
Timestep: 29000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 219.29
Timestep: 30000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 219.24
Timestep: 31000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 219.77
Timestep: 32000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 218.52
Timestep: 33000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 217.88
Timestep: 34000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 218.13
Timestep: 35000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 217.93
Timestep: 36000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 218.79
Timestep: 37000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 218.28
Timestep: 38000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 216.98
Timestep: 39000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 216.40
Timestep: 40000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 215.71
Timestep: 41000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.85
Timestep: 42000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 215.51
Timestep: 43000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 215.02
Timestep: 44000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.85
Timestep: 45000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 214.97
Timestep: 46000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 216.07
Timestep: 47000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 215.75
Timestep: 48000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 216.10
Timestep: 49000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 216.08
Timestep: 50000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 216.17
Timestep: 51000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 216.22
Timestep: 52000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 216.48
Timestep: 53000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 216.61
Timestep: 54000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 216.06
Timestep: 55000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 216.84
Timestep: 56000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 218.06
Timestep: 57000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 217.65
Timestep: 58000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 216.38
Timestep: 59000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 217.20
Timestep: 60000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 216.85
Timestep: 61000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 216.38
Timestep: 62000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 216.20
Timestep: 63000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 216.62
Timestep: 64000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 215.63
Timestep: 65000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 215.39
Timestep: 66000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 216.05
Timestep: 67000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 215.77
Timestep: 68000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 216.70
Timestep: 69000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 215.90
Timestep: 70000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 215.39
Timestep: 71000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 215.36
Timestep: 72000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 215.66
Timestep: 73000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.92
Timestep: 74000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.80
Timestep: 75000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.98
Timestep: 76000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 215.09
Timestep: 77000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 213.67
