Training Log - 1M_Exp3_XLBatch
Started at: 2026-03-21 08:32:59.350267
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0001
Gamma: 0.99
Batch Size: 128
Epsilon: start=1.0, end=0.05, decay=0.995
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 221.50
Timestep: 2000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 218.33
Timestep: 3000, Mean Reward (last 100): -20.46, Mean Episode Length (last 100): 216.69
Timestep: 4000, Mean Reward (last 100): -20.33, Mean Episode Length (last 100): 220.61
Timestep: 5000, Mean Reward (last 100): -20.41, Mean Episode Length (last 100): 219.68
Timestep: 6000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 219.63
Timestep: 7000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 216.72
Timestep: 8000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 215.78
Timestep: 9000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 216.32
Timestep: 10000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 216.33
Timestep: 11000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 217.10
Timestep: 12000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 216.47
Timestep: 13000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 216.12
Timestep: 14000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.80
Timestep: 15000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 214.62
Timestep: 16000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 214.74
Timestep: 17000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 214.84
Timestep: 18000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 214.17
Timestep: 19000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 214.18
Timestep: 20000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 213.54
Timestep: 21000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 213.45
Timestep: 22000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 212.54
Timestep: 23000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 212.68
Timestep: 24000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.20
Timestep: 25000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 212.83
Timestep: 26000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 212.66
Timestep: 27000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.06
Timestep: 28000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.35
Timestep: 29000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 214.50
Timestep: 30000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 214.09
Timestep: 31000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 213.61
Timestep: 32000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 213.76
Timestep: 33000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 214.09
Timestep: 34000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 213.91
Timestep: 35000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.08
Timestep: 36000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.77
Timestep: 37000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.70
Timestep: 38000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 213.20
Timestep: 39000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 213.27
Timestep: 40000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.75
Timestep: 41000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.88
Timestep: 42000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.44
Timestep: 43000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 214.26
Timestep: 44000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 215.04
Timestep: 45000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.52
Timestep: 46000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.62
Timestep: 47000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.06
Timestep: 48000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 213.51
Timestep: 49000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.40
Timestep: 50000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.97
Timestep: 51000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 212.67
Timestep: 52000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.72
Timestep: 53000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.01
Timestep: 54000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.99
Timestep: 55000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.99
Timestep: 56000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 215.31
Timestep: 57000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 216.18
Timestep: 58000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 215.97
Timestep: 59000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 216.37
Timestep: 60000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 216.33
Timestep: 61000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 217.02
Timestep: 62000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 216.47
Timestep: 63000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 216.75
Timestep: 64000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 216.28
Timestep: 65000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.97
Timestep: 66000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 215.54
Timestep: 67000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 216.77
Timestep: 68000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 217.14
Timestep: 69000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 216.96
Timestep: 70000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 216.52
Timestep: 71000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 216.43
Timestep: 72000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 217.29
Timestep: 73000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 217.47
Timestep: 74000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 217.08
Timestep: 75000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 215.43
Timestep: 76000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 216.20
Timestep: 77000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.85
