Training Log - Exp10_SmallBatch_HighGamma_LowEpsEnd
Started at: 2026-03-20 17:20:33.261135
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0003
Gamma: 0.995
Batch Size: 16
Epsilon: start=0.8, end=0.005, decay=0.99
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 208.50
Timestep: 2000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 204.11
Timestep: 3000, Mean Reward (last 100): -20.79, Mean Episode Length (last 100): 204.29
Timestep: 4000, Mean Reward (last 100): -20.84, Mean Episode Length (last 100): 205.63
Timestep: 5000, Mean Reward (last 100): -20.83, Mean Episode Length (last 100): 206.42
Timestep: 6000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 209.86
Timestep: 7000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 210.36
Timestep: 8000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 209.71
Timestep: 9000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 210.79
Timestep: 10000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 209.85
Timestep: 11000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 209.44
Timestep: 12000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 209.26
Timestep: 13000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 209.08
Timestep: 14000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 210.61
Timestep: 15000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 211.07
Timestep: 16000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 211.27
Timestep: 17000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 211.72
Timestep: 18000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 211.18
Timestep: 19000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 210.66
Timestep: 20000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 211.68
Timestep: 21000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 211.30
Timestep: 22000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 211.59
Timestep: 23000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 212.04
Timestep: 24000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 212.79
Timestep: 25000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 212.84
Timestep: 26000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 212.79
Timestep: 27000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 212.42
Timestep: 28000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 211.94
Timestep: 29000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 211.94
Timestep: 30000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.22
Timestep: 31000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 213.46
Timestep: 32000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 215.14
Timestep: 33000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.85
Timestep: 34000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.92
Timestep: 35000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 214.09
Timestep: 36000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 213.68
Timestep: 37000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 213.21
Timestep: 38000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.99
Timestep: 39000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.77
Timestep: 40000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 214.52
Timestep: 41000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.21
Timestep: 42000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 213.79
Timestep: 43000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.83
Timestep: 44000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 214.97
Timestep: 45000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.95
Timestep: 46000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 215.51
Timestep: 47000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 215.92
Timestep: 48000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 215.18
Timestep: 49000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 215.70
Timestep: 50000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 216.42

Training completed at: 2026-03-20 17:23:09.462931
Model saved to: models/Exp10_SmallBatch_HighGamma_LowEpsEnd_dqn_model.zip
