Training Log - Exp1_HighLR_LowGamma
Started at: 2026-03-19 16:19:24.760780
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.001
Gamma: 0.95
Batch Size: 32
Epsilon: start=1.0, end=0.05, decay=0.995
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.00, Mean Episode Length (last 100): 243.25
Timestep: 2000, Mean Reward (last 100): -20.25, Mean Episode Length (last 100): 227.88
Timestep: 3000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 219.69
Timestep: 4000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 215.22
Timestep: 5000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 214.83
Timestep: 6000, Mean Reward (last 100): -20.48, Mean Episode Length (last 100): 215.70
Timestep: 7000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 214.16
Timestep: 8000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 215.08
Timestep: 9000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 215.83
Timestep: 10000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 216.70
Timestep: 11000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 217.08
Timestep: 12000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 217.04
Timestep: 13000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 216.43
Timestep: 14000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 215.83
Timestep: 15000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 215.58
Timestep: 16000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.31
Timestep: 17000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.22
Timestep: 18000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.46
Timestep: 19000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 216.14
Timestep: 20000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 216.02
Timestep: 21000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 216.06
Timestep: 22000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 216.31
Timestep: 23000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 214.61
Timestep: 24000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 215.38
Timestep: 25000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 215.70
Timestep: 26000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 216.50
Timestep: 27000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 216.62
Timestep: 28000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 216.45
Timestep: 29000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 215.39
Timestep: 30000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 215.08
Timestep: 31000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 214.05
Timestep: 32000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.37
Timestep: 33000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.32
Timestep: 34000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 213.00
Timestep: 35000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 213.12
Timestep: 36000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 213.73
Timestep: 37000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 214.78
Timestep: 38000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.98
Timestep: 39000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.25
Timestep: 40000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.15
Timestep: 41000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 213.71
Timestep: 42000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.47
Timestep: 43000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.30
Timestep: 44000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.62
Timestep: 45000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.74
Timestep: 46000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.44
Timestep: 47000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 212.20
Timestep: 48000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 212.90
Timestep: 49000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 211.60
Timestep: 50000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 212.17

Training completed at: 2026-03-19 16:21:36.311861
Model saved to: models/Exp1_HighLR_LowGamma_dqn_model.zip
