Training Log - Exp1_VeryHighLR_FastDecay
Started at: 2026-03-20 16:55:33.629257
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.005
Gamma: 0.99
Batch Size: 32
Epsilon: start=1.0, end=0.05, decay=0.97
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 213.75
Timestep: 2000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.11
Timestep: 3000, Mean Reward (last 100): -20.79, Mean Episode Length (last 100): 209.86
Timestep: 4000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 211.94
Timestep: 5000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 213.65
Timestep: 6000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 213.64
Timestep: 7000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 216.53
Timestep: 8000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 214.59
Timestep: 9000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.93
Timestep: 10000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 215.52
Timestep: 11000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 215.43
Timestep: 12000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 214.56
Timestep: 13000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 213.45
Timestep: 14000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 213.34
Timestep: 15000, Mean Reward (last 100): -20.79, Mean Episode Length (last 100): 212.56
Timestep: 16000, Mean Reward (last 100): -20.80, Mean Episode Length (last 100): 212.13
Timestep: 17000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 212.59
Timestep: 18000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 212.73
Timestep: 19000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 212.51
Timestep: 20000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 212.42
Timestep: 21000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.49
Timestep: 22000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.53
Timestep: 23000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 213.09
Timestep: 24000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 213.47
Timestep: 25000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 214.47
Timestep: 26000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 214.53
Timestep: 27000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 214.14
Timestep: 28000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.98
Timestep: 29000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.67
Timestep: 30000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.67
Timestep: 31000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.53
Timestep: 32000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 212.22
Timestep: 33000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 212.79
Timestep: 34000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 212.41
Timestep: 35000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 212.17
Timestep: 36000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 212.78
Timestep: 37000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 212.85
Timestep: 38000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 213.25
Timestep: 39000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 212.86
Timestep: 40000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 212.75
Timestep: 41000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 213.72
Timestep: 42000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 213.98
Timestep: 43000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 214.53
Timestep: 44000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 214.42
Timestep: 45000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 214.19
Timestep: 46000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 212.96
Timestep: 47000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 212.33
Timestep: 48000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 212.40
Timestep: 49000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 211.83
Timestep: 50000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 211.17

Training completed at: 2026-03-20 16:59:10.732318
Model saved to: models/Exp1_VeryHighLR_FastDecay_dqn_model.zip
