Training Log - Exp3_LargeBatch_HighEpsilon
Started at: 2026-03-19 14:46:43.892746
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0001
Gamma: 0.99
Batch Size: 64
Epsilon: start=1.0, end=0.1, decay=0.99
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 222.75
Timestep: 2000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.11
Timestep: 3000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 215.69
Timestep: 4000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 218.56
Timestep: 5000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 216.91
Timestep: 6000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 218.37
Timestep: 7000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 217.81
Timestep: 8000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 217.64
Timestep: 9000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 217.49
Timestep: 10000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 216.17
Timestep: 11000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 215.06
Timestep: 12000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.27
Timestep: 13000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.53
Timestep: 14000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 214.98
Timestep: 15000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.83
Timestep: 16000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.57
Timestep: 17000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 215.08
Timestep: 18000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 215.90
Timestep: 19000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 216.49
Timestep: 20000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 215.78
Timestep: 21000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 216.01
Timestep: 22000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 216.67
Timestep: 23000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 216.03
Timestep: 24000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 215.48
Timestep: 25000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 215.83
Timestep: 26000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 215.32
Timestep: 27000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 214.15
Timestep: 28000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.63
Timestep: 29000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 212.92
Timestep: 30000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 211.99
Timestep: 31000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 211.93
Timestep: 32000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.11
Timestep: 33000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 213.24
Timestep: 34000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.39
Timestep: 35000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 213.64
Timestep: 36000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.44
Timestep: 37000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 214.11
Timestep: 38000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.63
Timestep: 39000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.82
Timestep: 40000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.35
Timestep: 41000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.77
Timestep: 42000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.27
Timestep: 43000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 210.25
Timestep: 44000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 210.92
Timestep: 45000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 212.74
Timestep: 46000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.71
Timestep: 47000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 212.28
Timestep: 48000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.14
Timestep: 49000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 214.01
Timestep: 50000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.41

Training completed at: 2026-03-19 14:50:09.488113
Model saved to: models/Exp3_LargeBatch_HighEpsilon_dqn_model.zip
