Training Log - Exp4_SmallBatch_LowEpsilon
Started at: 2026-03-19 16:25:30.342230
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0001
Gamma: 0.99
Batch Size: 16
Epsilon: start=0.5, end=0.02, decay=0.98
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.25, Mean Episode Length (last 100): 223.25
Timestep: 2000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 211.89
Timestep: 3000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 213.57
Timestep: 4000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.33
Timestep: 5000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 216.83
Timestep: 6000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 215.11
Timestep: 7000, Mean Reward (last 100): -20.81, Mean Episode Length (last 100): 213.06
Timestep: 8000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 213.27
Timestep: 9000, Mean Reward (last 100): -20.79, Mean Episode Length (last 100): 212.33
Timestep: 10000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 212.72
Timestep: 11000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 212.45
Timestep: 12000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 213.84
Timestep: 13000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 213.85
Timestep: 14000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.00
Timestep: 15000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.14
Timestep: 16000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 211.65
Timestep: 17000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.29
Timestep: 18000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 212.42
Timestep: 19000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.15
Timestep: 20000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 211.87
Timestep: 21000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 211.49
Timestep: 22000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 210.29
Timestep: 23000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 210.59
Timestep: 24000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 210.14
Timestep: 25000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 209.95
Timestep: 26000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 209.99
Timestep: 27000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 210.80
Timestep: 28000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 210.88
Timestep: 29000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 210.95
Timestep: 30000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 211.62
Timestep: 31000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.44
Timestep: 32000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 211.12
Timestep: 33000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 210.01
Timestep: 34000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 209.74
Timestep: 35000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 210.87
Timestep: 36000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 211.99
Timestep: 37000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 212.37
Timestep: 38000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.55
Timestep: 39000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 211.82
Timestep: 40000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.40
Timestep: 41000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.27
Timestep: 42000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.74
Timestep: 43000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.31
Timestep: 44000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.29
Timestep: 45000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.62
Timestep: 46000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 213.08
Timestep: 47000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 211.96
Timestep: 48000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.66
Timestep: 49000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 212.86
Timestep: 50000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 213.56

Training completed at: 2026-03-19 16:27:27.991332
Model saved to: models/Exp4_SmallBatch_LowEpsilon_dqn_model.zip
