Training Log - Exp5_MaxGamma_VeryLowLR
Started at: 2026-03-20 17:07:21.374386
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 1e-05
Gamma: 0.999
Batch Size: 32
Epsilon: start=1.0, end=0.05, decay=0.995
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 207.75
Timestep: 2000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 223.25
Timestep: 3000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 222.62
Timestep: 4000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 221.50
Timestep: 5000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 220.59
Timestep: 6000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 216.78
Timestep: 7000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 216.62
Timestep: 8000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 217.17
Timestep: 9000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 215.83
Timestep: 10000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 215.96
Timestep: 11000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 214.82
Timestep: 12000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.89
Timestep: 13000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.78
Timestep: 14000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.97
Timestep: 15000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 213.41
Timestep: 16000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 213.19
Timestep: 17000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 213.39
Timestep: 18000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 213.45
Timestep: 19000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 213.83
Timestep: 20000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 213.38
Timestep: 21000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 213.42
Timestep: 22000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.06
Timestep: 23000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.49
Timestep: 24000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 212.56
Timestep: 25000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 211.76
Timestep: 26000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.31
Timestep: 27000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.61
Timestep: 28000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.40
Timestep: 29000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 213.04
Timestep: 30000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.80
Timestep: 31000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.57
Timestep: 32000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.73
Timestep: 33000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 213.04
Timestep: 34000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.91
Timestep: 35000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 213.01
Timestep: 36000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.03
Timestep: 37000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.39
Timestep: 38000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 213.53
Timestep: 39000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.38
Timestep: 40000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.20
Timestep: 41000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.44
Timestep: 42000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.37
Timestep: 43000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 213.70
Timestep: 44000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 213.50
Timestep: 45000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 214.35
Timestep: 46000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 214.37
Timestep: 47000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 213.21
Timestep: 48000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 213.37
Timestep: 49000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 213.93
Timestep: 50000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 212.47

Training completed at: 2026-03-20 17:10:02.491977
Model saved to: models/Exp5_MaxGamma_VeryLowLR_dqn_model.zip
