Training Log - Exp5_MediumLR_MediumGamma
Started at: 2026-03-19 14:53:04.630188
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0003
Gamma: 0.97
Batch Size: 32
Epsilon: start=1.0, end=0.05, decay=0.995
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.25, Mean Episode Length (last 100): 223.75
Timestep: 2000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.44
Timestep: 3000, Mean Reward (last 100): -20.46, Mean Episode Length (last 100): 216.62
Timestep: 4000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 223.88
Timestep: 5000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 222.73
Timestep: 6000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 222.00
Timestep: 7000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 219.23
Timestep: 8000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 221.39
Timestep: 9000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 220.95
Timestep: 10000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 219.89
Timestep: 11000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 218.24
Timestep: 12000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 217.51
Timestep: 13000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 217.98
Timestep: 14000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 217.25
Timestep: 15000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 217.17
Timestep: 16000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 216.70
Timestep: 17000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 216.86
Timestep: 18000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 216.43
Timestep: 19000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 216.38
Timestep: 20000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 217.49
Timestep: 21000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 218.67
Timestep: 22000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 218.10
Timestep: 23000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 217.69
Timestep: 24000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 217.76
Timestep: 25000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 216.13
Timestep: 26000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 215.70
Timestep: 27000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 215.82
Timestep: 28000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 215.41
Timestep: 29000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 214.79
Timestep: 30000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.16
Timestep: 31000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.90
Timestep: 32000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 214.10
Timestep: 33000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 214.48
Timestep: 34000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 215.13
Timestep: 35000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.80
Timestep: 36000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.60
Timestep: 37000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 215.27
Timestep: 38000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 215.15
Timestep: 39000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 215.02
Timestep: 40000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.46
Timestep: 41000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 213.98
Timestep: 42000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.24
Timestep: 43000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 213.78
Timestep: 44000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 213.47
Timestep: 45000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 213.79
Timestep: 46000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 214.24
Timestep: 47000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 214.45
Timestep: 48000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 214.60
Timestep: 49000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 215.39
Timestep: 50000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 215.13

Training completed at: 2026-03-19 14:55:51.029768
Model saved to: models/Exp5_MediumLR_MediumGamma_dqn_model.zip
