Training Log - Exp6_HighLR_HighGamma_LargeBatch
Started at: 2026-03-19 16:29:24.381566
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0005
Gamma: 0.995
Batch Size: 64
Epsilon: start=1.0, end=0.01, decay=0.99
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.50, Mean Episode Length (last 100): 199.50
Timestep: 2000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 210.22
Timestep: 3000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 210.86
Timestep: 4000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 209.89
Timestep: 5000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 209.30
Timestep: 6000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 210.21
Timestep: 7000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 213.22
Timestep: 8000, Mean Reward (last 100): -20.49, Mean Episode Length (last 100): 214.89
Timestep: 9000, Mean Reward (last 100): -20.46, Mean Episode Length (last 100): 214.80
Timestep: 10000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 213.67
Timestep: 11000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 214.39
Timestep: 12000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 215.49
Timestep: 13000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 215.20
Timestep: 14000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 213.85
Timestep: 15000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 215.13
Timestep: 16000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 214.01
Timestep: 17000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 215.03
Timestep: 18000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 214.12
Timestep: 19000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 214.75
Timestep: 20000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 214.72
Timestep: 21000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 213.84
Timestep: 22000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 214.53
Timestep: 23000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 214.55
Timestep: 24000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 214.61
Timestep: 25000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 214.97
Timestep: 26000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 215.03
Timestep: 27000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 214.52
Timestep: 28000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 214.42
Timestep: 29000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.21
Timestep: 30000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 213.58
Timestep: 31000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.60
Timestep: 32000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.50
Timestep: 33000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.40
Timestep: 34000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.01
Timestep: 35000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 213.49
Timestep: 36000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 213.46
Timestep: 37000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 213.31
Timestep: 38000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.83
Timestep: 39000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 213.87
Timestep: 40000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.30
Timestep: 41000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 213.83
Timestep: 42000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 215.09
Timestep: 43000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 215.50
Timestep: 44000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 214.66
Timestep: 45000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 215.32
Timestep: 46000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.40
Timestep: 47000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 214.56
Timestep: 48000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 213.57
Timestep: 49000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 214.73
Timestep: 50000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 213.46

Training completed at: 2026-03-19 16:31:32.351014
Model saved to: models/Exp6_HighLR_HighGamma_LargeBatch_dqn_model.zip
