Training Log - Exp7_HighLR_XLBatch_LowGamma
Started at: 2026-03-20 17:12:36.215403
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.001
Gamma: 0.92
Batch Size: 128
Epsilon: start=1.0, end=0.05, decay=0.99
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.00, Mean Episode Length (last 100): 233.75
Timestep: 2000, Mean Reward (last 100): -20.44, Mean Episode Length (last 100): 220.22
Timestep: 3000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 215.69
Timestep: 4000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 214.94
Timestep: 5000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 215.57
Timestep: 6000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 214.78
Timestep: 7000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.00
Timestep: 8000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 214.70
Timestep: 9000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.95
Timestep: 10000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.80
Timestep: 11000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 214.00
Timestep: 12000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.52
Timestep: 13000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.36
Timestep: 14000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 212.57
Timestep: 15000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 213.09
Timestep: 16000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.56
Timestep: 17000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.51
Timestep: 18000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 212.67
Timestep: 19000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 212.73
Timestep: 20000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 212.75
Timestep: 21000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 213.47
Timestep: 22000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 212.81
Timestep: 23000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.16
Timestep: 24000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.19
Timestep: 25000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.58
Timestep: 26000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 214.16
Timestep: 27000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 213.51
Timestep: 28000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 212.90
Timestep: 29000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 213.95
Timestep: 30000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 213.06
Timestep: 31000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 213.51
Timestep: 32000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 214.43
Timestep: 33000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.57
Timestep: 34000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.95
Timestep: 35000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.84
Timestep: 36000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.49
Timestep: 37000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 215.42
Timestep: 38000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 215.92
Timestep: 39000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 215.88
Timestep: 40000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 215.97
Timestep: 41000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 215.78
Timestep: 42000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 215.17
Timestep: 43000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 215.32
Timestep: 44000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 214.56
Timestep: 45000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.96
Timestep: 46000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 214.58
Timestep: 47000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 214.60
Timestep: 48000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 215.18
Timestep: 49000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 215.74
Timestep: 50000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 215.76

Training completed at: 2026-03-20 17:15:13.289574
Model saved to: models/Exp7_HighLR_XLBatch_LowGamma_dqn_model.zip
