Training Log - Exp9_HighLR_MidGamma_SlowDecay
Started at: 2026-03-20 17:17:55.170945
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0008
Gamma: 0.96
Batch Size: 32
Epsilon: start=1.0, end=0.05, decay=0.999
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 216.75
Timestep: 2000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 218.33
Timestep: 3000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 226.15
Timestep: 4000, Mean Reward (last 100): -20.47, Mean Episode Length (last 100): 223.94
Timestep: 5000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 222.95
Timestep: 6000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 220.52
Timestep: 7000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 220.55
Timestep: 8000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 218.83
Timestep: 9000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 219.75
Timestep: 10000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 218.87
Timestep: 11000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 220.86
Timestep: 12000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 220.69
Timestep: 13000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 219.19
Timestep: 14000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 219.57
Timestep: 15000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 219.18
Timestep: 16000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 219.49
Timestep: 17000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 218.65
Timestep: 18000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 218.61
Timestep: 19000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 219.27
Timestep: 20000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 219.19
Timestep: 21000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 218.79
Timestep: 22000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 218.94
Timestep: 23000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 218.35
Timestep: 24000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 217.28
Timestep: 25000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 216.21
Timestep: 26000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.82
Timestep: 27000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 216.25
Timestep: 28000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 216.13
Timestep: 29000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 215.43
Timestep: 30000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.38
Timestep: 31000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 214.87
Timestep: 32000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 214.25
Timestep: 33000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 213.04
Timestep: 34000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 212.91
Timestep: 35000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 211.82
Timestep: 36000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 212.63
Timestep: 37000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 211.72
Timestep: 38000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 211.34
Timestep: 39000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 210.53
Timestep: 40000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 209.83
Timestep: 41000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 209.54
Timestep: 42000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 210.53
Timestep: 43000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 209.77
Timestep: 44000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 210.39
Timestep: 45000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 210.99
Timestep: 46000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 210.74
Timestep: 47000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 209.75
Timestep: 48000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 208.20
Timestep: 49000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 208.36
Timestep: 50000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 209.42

Training completed at: 2026-03-20 17:20:33.050199
Model saved to: models/Exp9_HighLR_MidGamma_SlowDecay_dqn_model.zip
