Training Log - Stecie_Exp10_MidRange_All
Started at: 2026-03-21 01:47:01.800505
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0003
Gamma: 0.97
Batch Size: 64
Epsilon: start=0.8, end=0.03, decay=0.99
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -21.00, Mean Episode Length (last 100): 212.75
Timestep: 2000, Mean Reward (last 100): -20.89, Mean Episode Length (last 100): 213.22
Timestep: 3000, Mean Reward (last 100): -20.86, Mean Episode Length (last 100): 211.29
Timestep: 4000, Mean Reward (last 100): -20.89, Mean Episode Length (last 100): 209.74
Timestep: 5000, Mean Reward (last 100): -20.87, Mean Episode Length (last 100): 216.26
Timestep: 6000, Mean Reward (last 100): -20.86, Mean Episode Length (last 100): 212.18
Timestep: 7000, Mean Reward (last 100): -20.88, Mean Episode Length (last 100): 212.91
Timestep: 8000, Mean Reward (last 100): -20.86, Mean Episode Length (last 100): 213.54
Timestep: 9000, Mean Reward (last 100): -20.86, Mean Episode Length (last 100): 211.86
Timestep: 10000, Mean Reward (last 100): -20.83, Mean Episode Length (last 100): 213.39
Timestep: 11000, Mean Reward (last 100): -20.84, Mean Episode Length (last 100): 213.94
Timestep: 12000, Mean Reward (last 100): -20.86, Mean Episode Length (last 100): 214.25
Timestep: 13000, Mean Reward (last 100): -20.87, Mean Episode Length (last 100): 214.48
Timestep: 14000, Mean Reward (last 100): -20.86, Mean Episode Length (last 100): 214.49
Timestep: 15000, Mean Reward (last 100): -20.84, Mean Episode Length (last 100): 215.29
Timestep: 16000, Mean Reward (last 100): -20.84, Mean Episode Length (last 100): 215.61
Timestep: 17000, Mean Reward (last 100): -20.82, Mean Episode Length (last 100): 216.15
Timestep: 18000, Mean Reward (last 100): -20.82, Mean Episode Length (last 100): 215.52
Timestep: 19000, Mean Reward (last 100): -20.80, Mean Episode Length (last 100): 214.99
Timestep: 20000, Mean Reward (last 100): -20.81, Mean Episode Length (last 100): 214.22
Timestep: 21000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 214.24
Timestep: 22000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 214.50
Timestep: 23000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 215.06
Timestep: 24000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 214.68
Timestep: 25000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 215.86
Timestep: 26000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 214.96
Timestep: 27000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 214.68
Timestep: 28000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 214.95
Timestep: 29000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 214.15
Timestep: 30000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 214.79
Timestep: 31000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 214.71
Timestep: 32000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 213.52
Timestep: 33000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 213.70
Timestep: 34000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 213.18
Timestep: 35000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.20
Timestep: 36000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.26
Timestep: 37000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.37
Timestep: 38000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.45
Timestep: 39000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.75
Timestep: 40000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 213.35
Timestep: 41000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.98
Timestep: 42000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 215.51
Timestep: 43000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.86
Timestep: 44000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.96
Timestep: 45000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 215.14
Timestep: 46000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.16
Timestep: 47000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.13
Timestep: 48000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 214.62
Timestep: 49000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.12
Timestep: 50000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.85

Training completed at: 2026-03-21 01:49:18.198479
Model saved to: models/Stecie_Exp10_MidRange_All_dqn_model.zip
