Training Log - Stecie_Exp1_LowLR_LowGamma
Started at: 2026-03-21 01:29:55.636446
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 1e-05
Gamma: 0.9
Batch Size: 32
Epsilon: start=1.0, end=0.05, decay=0.995
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 210.50
Timestep: 2000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 218.56
Timestep: 3000, Mean Reward (last 100): -20.46, Mean Episode Length (last 100): 218.15
Timestep: 4000, Mean Reward (last 100): -20.56, Mean Episode Length (last 100): 214.61
Timestep: 5000, Mean Reward (last 100): -20.52, Mean Episode Length (last 100): 215.61
Timestep: 6000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 213.71
Timestep: 7000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 214.03
Timestep: 8000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 215.16
Timestep: 9000, Mean Reward (last 100): -20.51, Mean Episode Length (last 100): 215.61
Timestep: 10000, Mean Reward (last 100): -20.54, Mean Episode Length (last 100): 215.98
Timestep: 11000, Mean Reward (last 100): -20.55, Mean Episode Length (last 100): 215.00
Timestep: 12000, Mean Reward (last 100): -20.53, Mean Episode Length (last 100): 216.49
Timestep: 13000, Mean Reward (last 100): -20.57, Mean Episode Length (last 100): 215.08
Timestep: 14000, Mean Reward (last 100): -20.58, Mean Episode Length (last 100): 215.32
Timestep: 15000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 214.72
Timestep: 16000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 214.82
Timestep: 17000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 214.68
Timestep: 18000, Mean Reward (last 100): -20.59, Mean Episode Length (last 100): 215.64
Timestep: 19000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 214.52
Timestep: 20000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 214.27
Timestep: 21000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 213.78
Timestep: 22000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 213.63
Timestep: 23000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 212.84
Timestep: 24000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 211.81
Timestep: 25000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.35
Timestep: 26000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 212.56
Timestep: 27000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.84
Timestep: 28000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 213.45
Timestep: 29000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.29
Timestep: 30000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 212.12
Timestep: 31000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 211.47
Timestep: 32000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 211.46
Timestep: 33000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 210.54
Timestep: 34000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 211.16
Timestep: 35000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 211.19
Timestep: 36000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 211.70
Timestep: 37000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 212.77
Timestep: 38000, Mean Reward (last 100): -20.79, Mean Episode Length (last 100): 212.66
Timestep: 39000, Mean Reward (last 100): -20.79, Mean Episode Length (last 100): 211.94
Timestep: 40000, Mean Reward (last 100): -20.77, Mean Episode Length (last 100): 213.06
Timestep: 41000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 214.15
Timestep: 42000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 213.10
Timestep: 43000, Mean Reward (last 100): -20.76, Mean Episode Length (last 100): 213.25
Timestep: 44000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 214.46
Timestep: 45000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.50
Timestep: 46000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 214.73
Timestep: 47000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 214.82
Timestep: 48000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 214.65
Timestep: 49000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 214.62
Timestep: 50000, Mean Reward (last 100): -20.71, Mean Episode Length (last 100): 216.49

Training completed at: 2026-03-21 01:31:40.623958
Model saved to: models/Stecie_Exp1_LowLR_LowGamma_dqn_model.zip
