Training Log - Stecie_Exp7_HighLR_LowGamma_SmallBatch
Started at: 2026-03-21 01:40:56.521192
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0008
Gamma: 0.92
Batch Size: 8
Epsilon: start=1.0, end=0.05, decay=0.995
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -21.00, Mean Episode Length (last 100): 210.00
Timestep: 2000, Mean Reward (last 100): -20.89, Mean Episode Length (last 100): 214.11
Timestep: 3000, Mean Reward (last 100): -20.86, Mean Episode Length (last 100): 209.14
Timestep: 4000, Mean Reward (last 100): -20.83, Mean Episode Length (last 100): 212.94
Timestep: 5000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 216.14
Timestep: 6000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 221.15
Timestep: 7000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 216.94
Timestep: 8000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 215.89
Timestep: 9000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 217.68
Timestep: 10000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 216.78
Timestep: 11000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 215.53
Timestep: 12000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 215.91
Timestep: 13000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 216.27
Timestep: 14000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 215.69
Timestep: 15000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 217.16
Timestep: 16000, Mean Reward (last 100): -20.60, Mean Episode Length (last 100): 218.37
Timestep: 17000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 218.56
Timestep: 18000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 217.33
Timestep: 19000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 216.67
Timestep: 20000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 216.93
Timestep: 21000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 216.13
Timestep: 22000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 216.95
Timestep: 23000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 216.86
Timestep: 24000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 216.40
Timestep: 25000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 216.84
Timestep: 26000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 216.87
Timestep: 27000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 215.66
Timestep: 28000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 215.57
Timestep: 29000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 215.32
Timestep: 30000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 214.56
Timestep: 31000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 214.82
Timestep: 32000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 215.10
Timestep: 33000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.86
Timestep: 34000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.17
Timestep: 35000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.88
Timestep: 36000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.32
Timestep: 37000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 213.40
Timestep: 38000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.38
Timestep: 39000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.35
Timestep: 40000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 213.69
Timestep: 41000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 214.42
Timestep: 42000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 215.15
Timestep: 43000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 217.01
Timestep: 44000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 215.86
Timestep: 45000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 216.25
Timestep: 46000, Mean Reward (last 100): -20.61, Mean Episode Length (last 100): 216.71
Timestep: 47000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 215.99
Timestep: 48000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 214.11
Timestep: 49000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 214.03
Timestep: 50000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 215.05

Training completed at: 2026-03-21 01:42:40.892316
Model saved to: models/Stecie_Exp7_HighLR_LowGamma_SmallBatch_dqn_model.zip
