Training Log - Stecie_Exp9_ExtremeExploration
Started at: 2026-03-21 01:44:29.586034
Environment: ALE/Pong-v5
Policy: CnnPolicy
Learning Rate: 0.0002
Gamma: 0.99
Batch Size: 32
Epsilon: start=1.0, end=0.2, decay=0.98
Replay Buffer Size: 100000
----------------------------------------------------------------------

Timestep: 1000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 222.75
Timestep: 2000, Mean Reward (last 100): -20.89, Mean Episode Length (last 100): 215.56
Timestep: 3000, Mean Reward (last 100): -20.93, Mean Episode Length (last 100): 210.36
Timestep: 4000, Mean Reward (last 100): -20.94, Mean Episode Length (last 100): 211.11
Timestep: 5000, Mean Reward (last 100): -20.87, Mean Episode Length (last 100): 215.00
Timestep: 6000, Mean Reward (last 100): -20.86, Mean Episode Length (last 100): 213.79
Timestep: 7000, Mean Reward (last 100): -20.81, Mean Episode Length (last 100): 214.75
Timestep: 8000, Mean Reward (last 100): -20.84, Mean Episode Length (last 100): 214.16
Timestep: 9000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 217.00
Timestep: 10000, Mean Reward (last 100): -20.80, Mean Episode Length (last 100): 216.11
Timestep: 11000, Mean Reward (last 100): -20.78, Mean Episode Length (last 100): 216.78
Timestep: 12000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 217.96
Timestep: 13000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 218.42
Timestep: 14000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 217.88
Timestep: 15000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 218.32
Timestep: 16000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 218.22
Timestep: 17000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 217.95
Timestep: 18000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 218.89
Timestep: 19000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 218.88
Timestep: 20000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 218.46
Timestep: 21000, Mean Reward (last 100): -20.74, Mean Episode Length (last 100): 218.39
Timestep: 22000, Mean Reward (last 100): -20.75, Mean Episode Length (last 100): 217.30
Timestep: 23000, Mean Reward (last 100): -20.73, Mean Episode Length (last 100): 216.62
Timestep: 24000, Mean Reward (last 100): -20.72, Mean Episode Length (last 100): 216.78
Timestep: 25000, Mean Reward (last 100): -20.70, Mean Episode Length (last 100): 217.15
Timestep: 26000, Mean Reward (last 100): -20.69, Mean Episode Length (last 100): 217.31
Timestep: 27000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 216.59
Timestep: 28000, Mean Reward (last 100): -20.68, Mean Episode Length (last 100): 216.60
Timestep: 29000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 217.22
Timestep: 30000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 217.09
Timestep: 31000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 216.45
Timestep: 32000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 216.22
Timestep: 33000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 215.85
Timestep: 34000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 215.92
Timestep: 35000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 214.76
Timestep: 36000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 214.39
Timestep: 37000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.66
Timestep: 38000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 213.72
Timestep: 39000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 213.60
Timestep: 40000, Mean Reward (last 100): -20.65, Mean Episode Length (last 100): 212.96
Timestep: 41000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 212.13
Timestep: 42000, Mean Reward (last 100): -20.64, Mean Episode Length (last 100): 212.00
Timestep: 43000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 212.62
Timestep: 44000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 213.00
Timestep: 45000, Mean Reward (last 100): -20.62, Mean Episode Length (last 100): 213.72
Timestep: 46000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 213.36
Timestep: 47000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 212.85
Timestep: 48000, Mean Reward (last 100): -20.63, Mean Episode Length (last 100): 213.04
Timestep: 49000, Mean Reward (last 100): -20.66, Mean Episode Length (last 100): 213.03
Timestep: 50000, Mean Reward (last 100): -20.67, Mean Episode Length (last 100): 212.70

Training completed at: 2026-03-21 01:47:01.611270
Model saved to: models/Stecie_Exp9_ExtremeExploration_dqn_model.zip
